TEAM_ID,TEAM_CITY,TEAM_NAME,YEAR,GP,WINS,LOSSES,WIN_PCT,CONF_RANK,DIV_RANK,PO_WINS,PO_LOSSES,NBA_FINALS_APPEARANCE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,PTS,PTS_RANK
1610612738,Boston,Celtics,2013,82,25,57,0.305,12,4,0,0,N/A,2996,6883,0.435,575,1729,0.333,1325,1706,0.777,7892,26
1610612738,Boston,Celtics,2014,82,40,42,0.488,7,2,0,4,N/A,3193,7211,0.443,660,2021,0.327,1266,1678,0.754,8312,13
1610612738,Boston,Celtics,2015,82,48,34,0.585,5,2,2,4,N/A,3216,7318,0.439,717,2142,0.335,1520,1929,0.788,8669,5
1610612738,Boston,Celtics,2016,82,53,29,0.646,1,1,9,9,N/A,3168,6977,0.454,985,2741,0.359,1536,1903,0.807,8857,7
1610612738,Boston,Celtics,2017,82,55,27,0.671,2,2,11,8,N/A,3141,6975,0.45,939,2492,0.377,1308,1697,0.771,8529,20
1610612738,Boston,Celtics,2018,82,49,33,0.598,4,3,5,4,N/A,3451,7423,0.465,1032,2829,0.365,1282,1598,0.802,9216,14
1610612738,Boston,Celtics,2019,72,48,24,0.667,3,2,10,7,N/A,2971,6448,0.461,905,2487,0.364,1336,1668,0.801,8183,10
1610612738,Boston,Celtics,2020,72,36,36,0.5,7,4,1,4,N/A,2985,6401,0.466,979,2618,0.374,1160,1496,0.775,8109,16
1610612738,Boston,Celtics,2021,82,51,31,0.622,2,1,14,10,FINALS APPEARANCE,3341,7167,0.466,1085,3044,0.356,1397,1713,0.816,9164,12
1610612739,Cleveland,Cavaliers,2000,82,30,52,0.366,11,6,0,0,N/A,2890,6532,0.442,220,659,0.334,1561,2040,0.765,7561,22
1610612739,Cleveland,Cavaliers,2001,82,29,53,0.354,14,7,0,0,N/A,2948,6582,0.448,387,1026,0.377,1529,1980,0.772,7812,16
1610612739,Cleveland,Cavaliers,2002,82,17,65,0.207,15,8,0,0,N/A,2850,6746,0.422,293,896,0.327,1502,2012,0.747,7495,25
1610612739,Cleveland,Cavaliers,2003,82,35,47,0.427,9,5,0,0,N/A,2922,6753,0.433,247,786,0.314,1528,2030,0.753,7619,14
1610612739,Cleveland,Cavaliers,2004,82,42,40,0.512,9,4,0,0,N/A,2990,6687,0.447,300,904,0.332,1634,2174,0.752,7914,17
1610612739,Cleveland,Cavaliers,2005,82,50,32,0.61,3,2,7,6,N/A,2908,6412,0.454,497,1465,0.339,1689,2318,0.729,8002,15
1610612739,Cleveland,Cavaliers,2006,82,50,32,0.61,2,2,12,8,FINALS APPEARANCE,2978,6658,0.447,494,1404,0.352,1484,2133,0.696,7934,19
1610612739,Cleveland,Cavaliers,2007,82,45,37,0.549,4,2,7,6,N/A,2937,6697,0.439,552,1544,0.358,1477,2061,0.717,7903,24
1610612739,Cleveland,Cavaliers,2008,82,66,16,0.805,1,1,10,4,N/A,3022,6454,0.468,656,1670,0.393,1523,2012,0.757,8223,13
1610612739,Cleveland,Cavaliers,2009,82,61,21,0.744,1,1,6,5,N/A,3101,6391,0.485,602,1582,0.381,1569,2180,0.72,8373,9
1610612739,Cleveland,Cavaliers,2010,82,19,63,0.232,15,5,0,0,N/A,2886,6647,0.434,509,1489,0.342,1546,2075,0.745,7827,25
1610612739,Cleveland,Cavaliers,2011,66,21,45,0.318,13,5,0,0,N/A,2261,5360,0.422,440,1273,0.346,1178,1645,0.716,6140,25
1610612739,Cleveland,Cavaliers,2012,82,24,58,0.293,13,5,0,0,N/A,2993,6901,0.434,547,1581,0.346,1380,1826,0.756,7913,18
1610612739,Cleveland,Cavaliers,2013,82,33,49,0.402,10,3,0,0,N/A,3036,6955,0.437,584,1640,0.356,1398,1861,0.751,8054,22
1610612739,Cleveland,Cavaliers,2014,82,53,29,0.646,2,1,14,6,FINALS APPEARANCE,3089,6739,0.458,826,2253,0.367,1453,1934,0.751,8457,8
